DataZon,CIF,crime_rate,overcrowded_count,Employment_rate,DEPRESS,DRUG,Noquals,SMR,nocentralheat_rate,Clst_KM,BMU,hier_cluster
S01008417,0.049019607843137,0.024909789314399,0.034693877551020,0.056603773584906,0.320550654705632,0.000000000000000,0.108757292396581,0.116788321167883,0.054472685690525,5,57.000000000000000,1
S01008418,0.049019607843137,0.021225947232692,0.014285714285714,0.037735849056604,0.338883930915011,0.000000000000000,0.090194321772193,0.083941605839416,0.071436361653397,5,56.000000000000000,1
S01008419,0.088235294117647,0.025785894071654,0.061224489795918,0.094339622641509,0.200055709839366,0.000000000000000,0.135122752121631,0.098540145985401,0.000000000000000,5,35.000000000000000,1
S01008420,0.049019607843137,0.012352805356731,0.004081632653061,0.056603773584906,0.361345288122350,0.000000000000000,0.118334972041348,0.105839416058394,0.000000000000000,5,67.000000000000000,1
S01008421,0.166666666666667,0.020434471234185,0.124489795918367,0.169811320754717,0.535031244133106,0.054274706993990,0.371159623087538,0.182481751824818,0.034569204380525,2,104.000000000000000,1
S01008422,0.029411764705882,0.021806077623296,0.034693877551020,0.037735849056604,0.306513545452842,0.000000000000000,0.037184892522000,0.082116788321168,0.031841521587215,5,56.000000000000000,1
S01008423,0.039215686274510,0.025352112676056,0.055102040816327,0.037735849056604,0.247036884218419,0.112754044392686,0.122302556859789,0.098540145985401,0.013951259340776,5,46.000000000000000,1
S01008424,0.039215686274510,0.011054099659079,0.018367346938776,0.056603773584906,0.248070123106782,0.000000000000000,0.098573240911731,0.104014598540146,0.017760705005084,5,35.000000000000000,1
S01008425,0.019607843137255,0.008671654396397,0.063265306122449,0.018867924528302,0.025091241151522,0.000000000000000,0.159690073643411,0.131386861313869,0.041410649017090,5,1.000000000000000,1
S01008426,0.176470588235294,0.024048546598741,0.087755102040816,0.245283018867925,0.729835318322400,0.052650988760121,0.448382767471615,0.138686131386861,0.051763311271362,2,115.000000000000000,4
S01008427,0.049019607843137,0.013826075720377,0.097959183673469,0.037735849056604,0.291498072811740,0.021447728993110,0.142309056106699,0.114963503649635,0.018514592608296,5,57.000000000000000,1
S01008428,0.127450980392157,0.006658507747516,0.124489795918367,0.150943396226415,0.420012306839712,0.039931851953068,0.466634517925713,0.184306569343066,0.029250865245060,2,92.000000000000000,1
S01008429,0.068627450980392,0.017834819568297,0.051020408163265,0.075471698113208,0.330863009473233,0.000000000000000,0.158779240545978,0.111313868613139,0.035267987346600,5,78.000000000000000,1
S01008430,0.098039215686275,0.039440499747798,0.134693877551020,0.132075471698113,0.371977184546681,0.040643688054651,0.147576595101939,0.109489051094891,0.066802651708312,5,102.000000000000000,1
S01008431,0.088235294117647,0.005369509216821,0.081632653061224,0.094339622641509,0.387069900615104,0.070618452524968,0.168689833059888,0.082116788321168,0.017613050687940,5,90.000000000000000,1
S01008432,0.049019607843137,0.044200959949642,0.053061224489796,0.037735849056604,0.316704039655449,0.000000000000000,0.155532436434901,0.062043795620438,0.014103840874223,5,57.000000000000000,1
S01008433,0.049019607843137,0.027400768245839,0.042857142857143,0.037735849056604,0.329464586544749,0.000000000000000,0.205563444176680,0.125912408759124,0.055130812933997,5,79.000000000000000,1
S01008434,0.029411764705882,0.030953371060768,0.057142857142857,0.037735849056604,0.362720262472885,0.000000000000000,0.192991845796382,0.105839416058394,0.111087555649778,5,79.000000000000000,1
S01008435,0.039215686274510,0.047590808005930,0.055102040816327,0.037735849056604,0.388547955273243,0.000000000000000,0.169434817513412,0.171532846715328,0.032267599389132,5,79.000000000000000,1
S01008436,0.078431372549020,0.018510242622573,0.051020408163265,0.075471698113208,0.331013757387953,0.000000000000000,0.132281520672389,0.136861313868613,0.011826306761759,5,78.000000000000000,1
S01008437,0.127450980392157,0.016447937282632,0.112244897959184,0.113207547169811,0.451085328373720,0.037925042854947,0.152685199901304,0.074817518248175,0.083786376718900,5,102.000000000000000,1
S01008438,0.029411764705882,0.022302950897776,0.073469387755102,0.037735849056604,0.292511900709610,0.054551491181304,0.160848154374011,0.094890510948905,0.022624239022495,5,57.000000000000000,1
S01008439,0.029411764705882,0.017050956741318,0.061224489795918,0.037735849056604,0.206761811335257,0.000000000000000,0.031954487140250,0.080291970802920,0.022227501018053,5,34.000000000000000,1
S01008440,0.039215686274510,0.023387658638543,0.032653061224490,0.056603773584906,0.220961979771499,0.000000000000000,0.040256196985868,0.100364963503650,0.014874813118601,5,34.000000000000000,1
S01008441,0.049019607843137,0.018838028169014,0.022448979591837,0.037735849056604,0.189770132290408,0.000000000000000,0.092342666895929,0.153284671532847,0.085047677013593,5,23.000000000000000,1
S01008442,0.019607843137255,0.033993434289950,0.034693877551020,0.056603773584906,0.327725450431161,0.000000000000000,0.055553460220074,0.085766423357664,0.087236403995560,5,56.000000000000000,1
S01008443,0.019607843137255,0.055722570718428,0.018367346938776,0.037735849056604,0.177641562163214,0.055115237932827,0.117248529937318,0.078467153284672,0.033975231796667,5,23.000000000000000,1
S01008444,0.039215686274510,0.017665959689607,0.116326530612245,0.018867924528302,0.233871112423698,0.000000000000000,0.191587727431300,0.080291970802920,0.047608952421333,5,68.000000000000000,1
S01008445,0.127450980392157,0.008806674965792,0.193877551020408,0.037735849056604,0.178400396869693,0.044533115214629,0.290377046046686,0.111313868613139,0.032629678062146,5,69.000000000000000,1
S01008446,0.029411764705882,0.030361657122220,0.026530612244898,0.018867924528302,0.081596247733578,0.000000000000000,0.064046260223177,0.067518248175182,0.018988717899162,5,1.000000000000000,1
S01008447,0.039215686274510,0.037833696741116,0.028571428571429,0.056603773584906,0.188649136745117,0.000000000000000,0.078911740545068,0.078467153284672,0.080559049615653,5,24.000000000000000,1
S01008448,0.058823529411765,0.056758734223523,0.071428571428571,0.075471698113208,0.288878442676543,0.000000000000000,0.221431249449273,0.080291970802920,0.019642634012245,5,68.000000000000000,1
S01008449,0.264705882352941,0.026975696662073,0.255102040816327,0.377358490566038,0.558345510403957,0.206359849964315,0.609594441115831,0.208029197080292,0.087053518452593,3,95.000000000000000,4
S01008450,0.225490196078431,0.065119109720049,0.236734693877551,0.264150943396226,0.624136486215860,0.176976473698767,0.551289020058304,0.209854014598540,0.097977222505524,2,106.000000000000000,4
S01008451,0.490196078431373,0.128999540722596,0.324489795918367,0.679245283018868,0.685023763086960,0.587985135673624,0.897832140291209,0.423357664233577,0.070720976057440,3,110.000000000000000,5
S01008452,0.411764705882353,0.075811576777740,0.332653061224490,0.528301886792453,0.537789417279445,0.476264069878459,0.733680879232703,0.299270072992701,0.031336901593757,3,109.000000000000000,5
S01008453,0.078431372549020,0.025285943851026,0.391836734693878,0.113207547169811,0.281357579763385,0.116539450933384,0.517073628783276,0.226277372262774,0.039078231038854,2,52.000000000000000,4
S01008454,0.401960784313726,0.052405052019175,0.342857142857143,0.433962264150943,0.618699288137229,0.000000000000000,0.593445787150569,0.105839416058394,0.083169652600044,3,117.000000000000000,4
S01008455,0.294117647058824,0.089262127553078,0.434693877551020,0.433962264150943,0.609891868723031,0.196527197240714,0.712821306758720,0.233576642335766,0.019773584905660,3,118.000000000000000,4
S01008456,0.431372549019608,0.058139701151069,0.414285714285714,0.603773584905660,0.734950447057056,0.310003114940826,0.667421609706750,0.343065693430657,0.132094863193003,3,99.000000000000000,5
S01008457,0.343137254901961,0.058848848609484,0.244897959183673,0.377358490566038,0.794584710095787,0.219689226150925,0.697396017416402,0.182481751824818,0.072224944866454,3,117.000000000000000,4
S01008458,0.166666666666667,0.065259634341801,0.240816326530612,0.207547169811321,0.543329898612562,0.166736631381846,0.575475265178939,0.189781021897810,0.094491477164876,2,106.000000000000000,4
S01008459,0.401960784313726,0.422368421052632,0.248979591836735,0.566037735849057,0.672386311202965,0.251151536407022,0.653814622388738,0.206204379562044,0.226822498917831,3,88.000000000000000,5
S01008460,0.411764705882353,0.114086226762283,0.351020408163265,0.528301886792453,0.526068398502647,0.339624841924005,0.845484309049822,0.279197080291971,0.012281729755069,3,109.000000000000000,5
S01008461,0.352941176470588,0.135666493538236,0.340816326530612,0.490566037735849,0.675156967605747,0.417898632824108,0.801888523752353,0.273722627737226,0.075719417034805,3,109.000000000000000,5
